,loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,CZE_Rank,CZE_WorldMarketShare,CZE_EUMarketShare,PCI_Rank,PCI_Percentile,relatedness_Rank,relatedness_Percentile,export_Rank
0,CZE,10121,4290886.0,2023,1341,11,0,1.6022595148416798,1.4163551376368058,0.23102381219593984,1.3773197299057711,0.30826993653952217,0.25351066480049167,"Plemenní čistokrevní koně, živí","Horses: live, pure-bred breeding animals",0.2310238121959398,1553094744.0,875600650.0,IRL,0.5637780009124801,0.19534655175964766,0.3934560795286141,20.0,0.002762797322299096,0.004900505727125717,3178.0,56.689261505529785,1022.0,18.230467356403853,20.0
1,CZE,10129,1804081.9999999998,2023,1341,19,0,1.6022595148416798,0.9964695467836244,0.259272244241694,1.3773197299057711,0.22518367885180793,0.07665638435356237,"Koně ostatní, živí","Horses: live, other than pure-bred breeding animals",0.2592722442416941,2159509655.0,905709379.0,DEU,0.4194051074988132,0.14941093092992783,0.19003062166901158,34.0,0.0008354127965220881,0.001991899434664019,2577.0,45.96860506600071,2403.0,42.86478772743489,34.0
2,CZE,10130,2.0,2023,1341,21,0,1.6022595148416798,1.6635067780630568,0.3001160385581009,1.3773197299057711,0.40783236653820726,0.00017258336235960968,"Osli, živí",Asses: live,0.30011603855810076,1063355.0,552677.0,IRL,0.5197483436857869,0.08991030571371642,0.13680262970792245,40.0,1.8808394186325357e-06,3.618750192246104e-06,3520.0,62.78986799857296,3994.0,71.24509454156261,40.0
3,CZE,10190,104.0,2023,1341,13,0,1.6022595148416798,1.1856603889969728,0.238122143759841,1.3773197299057711,0.2781468829649313,0.0005482425771015299,Koně ostatní,Mules and hinnies: live,0.238122143759841,17406353.0,3038011.0,FRA,0.17453460813991306,0.40896471069015755,0.2136137251440303,51.0,5.9748299945427975e-06,3.423292410725307e-05,2827.0,50.4281127363539,1324.0,23.61755262219051,51.0
4,CZE,10221,50812268.0,2023,1341,34,1,1.6022595148416798,0.04848957822490859,0.346227923370323,1.3773197299057711,-0.0,4.365075511008138,"Plemenný čistokrevný skot, živý","Cattle: live, pure-bred breeding animals",0.346227923370323,1068129788.0,741787875.0,DEU,0.6944735399514951,0.062397056683631706,0.09722119769124045,9.0,0.04757124889770418,0.0684997284432561,1575.0,28.094898323225117,5189.0,92.56154120585087,9.0
5,CZE,10229,275009276.0,2023,1341,36,1,1.6022595148416798,0.003700519419291291,0.3419577605555032,1.3773197299057711,-0.0,2.7889484402131286,"Skot ostatní, živý","Cattle: live, other than pure-bred breeding animals",0.3419577605555032,9048030690.0,4163319684.0000005,FRA,0.4601354511983867,0.09555351886995458,0.23177934496671423,7.0,0.030394379221540858,0.06605528685603572,1533.0,27.345701034605778,5078.0,90.58151980021407,7.0
6,CZE,10231,0.0,2023,1341,7,0,1.6022595148416798,0.1573013501418718,0.2282798924889314,1.3773197299057711,-0.07309738944885266,0.0,"Plemenní čistokrevní buvoli, živí","Buffalo: live, pure-bred breeding animals",0.22827989248893138,18538511.0,631383.0,NLD,0.03405791328116913,0.6194544964626779,0.19318794407899037,20.0,0.0,0.0,1679.0,29.950053514092044,913.0,16.286122012129862,20.0
7,CZE,10239,0.0,2023,1341,9,0,1.6022595148416798,-0.8888567707559326,0.23388890080143157,1.3773197299057711,-0.17341269298365689,0.0,"Buvoli ostatní, živí","Buffalo: live, other than pure-bred breeding animals",0.23388890080143152,99882887.0,1989890.0,FRA,0.019922231523003535,0.6747691700436501,0.27595015970680603,27.0,0.0,0.0,802.0,14.306100606493043,1134.0,20.228326792722086,27.0
8,CZE,10290,467047.0,2023,1341,21,0,1.6022595148416798,-0.9774099128001916,0.2646846946398818,1.3773197299057711,-0.18083059737913354,0.1461081337315691,Dobytek hovězí ostatní živý,"Bovine animals: live, other than cattle and buffalo",0.26468469463988176,293314411.0,74507994.0,FRA,0.2540209113694042,0.10431514324180519,0.33168874419445027,28.0,0.0015923083983759665,0.0062684146348108635,752.0,13.414199072422406,2665.0,47.53835176596504,28.0
9,CZE,10310,3295759.0,2023,1341,20,1,1.6022595148416798,1.4245674089513853,0.33841928383266673,1.3773197299057711,0.0,1.6290884290176837,Dobytek vepřový plemenný čistokrevný živý,"Swine: live, pure-bred breeding animals",0.33841928383266684,185634202.0,134092625.0,DNK,0.7223487027460597,0.15094761421979577,0.24579917826233216,11.0,0.017754050517048578,0.024578227176923415,3195.0,56.99250802711381,4979.0,88.81555476275419,11.0
10,CZE,10391,13843270.0,2023,1341,10,0,1.6022595148416798,2.3364922668599024,0.27852362738164155,1.3773197299057711,0.2699186845734391,0.49077339017151667,"Dobytek vepřový ostatní živý,do 50kg","Swine: live, other than pure-bred breeding animals, weighing less than 50kg",0.27852362738164155,2588242058.0,2405554519.0,DNK,0.9294163625711394,0.3900952603864967,0.44606646341674966,10.0,0.005348522158973432,0.005754710562849646,4472.0,79.77167320727791,3274.0,58.40171245094542,10.0
11,CZE,10392,36840845.0,2023,1341,20,1,1.6022595148416798,2.135081387215608,0.3232800328146691,1.3773197299057711,0.0,1.5331303854032283,"Dobytek vepřový ostatní živý,nad 50kg","Swine: live, other than pure-bred breeding animals, weighing 50kg or more",0.323280032814669,2204944688.0,1404967361.0,NLD,0.6371893901222433,0.0984109429686867,0.10697278485963171,15.0,0.016708285337269195,0.026221851142348353,4203.0,74.97324295397789,4584.0,81.76953264359614,15.0
12,CZE,10410,1416819.0,2023,1341,27,0,1.6022595148416798,-2.250545244019831,0.2655548108437059,1.3773197299057711,-0.4142108970716019,0.05548681723774935,Ovce živé,Sheep: live,0.26555481084370597,2342997180.0,764449293.0,ROU,0.3262698305936501,0.13672219881919584,0.2668269570302944,43.0,0.0006047036727547405,0.0018533851924172032,183.0,3.264359614698537,2705.0,48.25187299322155,43.0
13,CZE,10420,6739.0,2023,1341,17,0,1.6022595148416798,-2.891903188578661,0.20727390638798276,1.3773197299057711,-0.3985986157904437,0.0011418463748440917,Kozy živé,Goats: live,0.20727390638798276,541545544.0,8607918.0,ESP,0.01589509524244188,0.29842636624637475,0.13691304474259294,54.0,1.2444013388465808e-05,0.0007828838518210791,84.0,1.4983945772386729,310.0,5.52978951123796,54.0
14,CZE,10511,50061312.0,2023,1341,35,1,1.6022595148416798,-0.4071984318416075,0.31051248730193487,1.3773197299057711,-0.0,2.5274673506358805,"Kohouti,slepice domácí živí,do 185g","Poultry: live, fowls of the species Gallus domesticus, weighing not more than 185g",0.31051248730193487,1817455897.0,952549971.0,NLD,0.5241117391471976,0.07997155648337154,0.12057339781917062,11.0,0.02754471901223802,0.0525550506788058,1172.0,20.90617195861577,4286.0,76.45379950053514,11.0
15,CZE,10512,13792.0,2023,1341,10,0,1.6022595148416798,2.7548507611322552,0.2953201471162541,1.3773197299057711,0.6164414932721204,0.007007021536033805,Krocani a krůty,"Poultry: live, turkeys, weighing not more than 185g",0.29532014711625404,180609672.0,109882462.0,FRA,0.6083974395346889,0.15520268765890846,0.29128290669993945,24.0,7.636357370717113e-05,0.00012551593538193565,5006.0,89.29718159115234,3839.0,68.48019978594363,24.0
