,loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,CZE_Rank,CZE_WorldMarketShare,CZE_EUMarketShare,PCI_Rank,PCI_Percentile,relatedness_Rank,relatedness_Percentile,export_Rank
0,CZE,10121,5295687.0,2022,1436,12,0,1.5726864950895576,0.8804833165853034,0.2439965136406662,1.3450586607221944,0.18894351921842573,0.36515592081750087,"Plemenní čistokrevní koně, živí","Horses: live, pure-bred breeding animals",0.24399651364066624,1507629183.0,629207028.0,IRL,0.4173486657693598,0.18548820384525044,0.27169737564478785,19.0,0.003512592525877101,0.008416446041349685,2389.0,42.61505529789511,888.0,15.840171245094542,19.0
1,CZE,10129,2778126.0,2022,1436,22,0,1.5726864950895576,1.2656961726686227,0.2872288102630335,1.3450586607221944,0.15960000009461825,0.10844414135557355,"Koně ostatní, živí","Horses: live, other than pure-bred breeding animals",0.2872288102630335,2663154845.0,947547238.0,DEU,0.3557987774458529,0.12795518592505226,0.1824429448111975,33.0,0.0010431710364929981,0.0029319129311841234,2903.0,51.783803068141275,2760.0,49.23296468069925,33.0
2,CZE,10130,0.0,2022,1436,12,0,1.5726864950895576,2.095720823492048,0.2880821710149814,1.3450586607221944,0.4793916457727271,0.0,"Osli, živí",Asses: live,0.2880821710149814,1981590.0,1588164.0,ITA,0.8014594340908059,0.23387072029083578,0.34176213833503477,33.0,0.0,0.0,4181.0,74.5808062789868,2799.0,49.92864787727435,33.0
3,CZE,10190,7822.0,2022,1436,16,0,1.5726864950895576,0.44623145920251944,0.26220442502764385,1.3450586607221944,0.13680600026279996,0.04592113685732778,Koně ostatní,Mules and hinnies: live,0.26220442502764385,17707439.0,6957848.0,IRL,0.3929336139460935,0.2516402636472521,0.18450583059392442,29.0,0.00044173525036567964,0.001124198171618581,1898.0,33.85658223332144,1666.0,29.71815911523368,29.0
4,CZE,10221,35746639.0,2022,1436,30,1,1.5726864950895576,0.1318297010851079,0.3802775383924219,1.3450586607221944,-0.0,3.1177482586092777,"Plemenný čistokrevný skot, živý","Cattle: live, pure-bred breeding animals",0.38027753839242207,1191913512.0,604671188.0,FRA,0.5073112955866885,0.06955491014612958,0.10446194943828385,13.0,0.029990967163395995,0.05911748353387726,1572.0,28.041384231180878,5424.0,96.75347841598287,13.0
5,CZE,10229,220630311.0,2022,1436,40,1,1.5726864950895576,-0.07831387469916301,0.3548344178286748,1.3450586607221944,-0.0,3.034347549097677,"Skot ostatní, živý","Cattle: live, other than pure-bred breeding animals",0.35483441782867475,7558757778.0,3534222549.0,FRA,0.4675665833989898,0.08427159764700046,0.19452092059076065,7.0,0.029188699714938794,0.062426830212609793,1371.0,24.45594006421691,4839.0,86.3182304673564,7.0
6,CZE,10231,0.0,2022,1436,8,0,1.5726864950895576,0.0658726735162627,0.2926446604065792,1.3450586607221944,-0.028558072385952604,0.0,"Plemenní čistokrevní buvoli, živí","Buffalo: live, pure-bred breeding animals",0.2926446604065792,9226054.0,614784.0,ITA,0.06663563859478819,0.6413339550871109,0.3029640211568552,21.0,0.0,0.0,1513.0,26.988940420977524,2982.0,53.193007491972885,21.0
7,CZE,10239,927532.0,2022,1436,7,1,1.5726864950895576,0.22233272621692335,0.4378152192039905,1.3450586607221944,-0.0,1.01510258116317,"Buvoli ostatní, živí","Buffalo: live, other than pure-bred breeding animals",0.43781521920399064,94988175.0,3214710.0,ITA,0.033843265227487526,0.5687386171135478,0.21967642547543198,6.0,0.009764710186294242,0.2885274254909463,1665.0,29.700321084552268,5601.0,99.91080984659294,6.0
8,CZE,10290,2744658.0000000005,2022,1436,24,0,1.5726864950895576,-0.16245729605193707,0.31607329422698355,1.3450586607221944,-0.14351706015321317,0.7669232007190238,Dobytek hovězí ostatní živý,"Bovine animals: live, other than cattle and buffalo",0.3160732942269835,372037686.0,99565294.0,FRA,0.26762152799756955,0.0928356370945973,0.14612910006552515,21.0,0.007377365528501864,0.027566412850646538,1299.0,23.171601855155192,3819.0,68.12343917231539,21.0
9,CZE,10310,2973662.0000000005,2022,1436,17,1,1.5726864950895576,1.6484566073412195,0.36441728319766437,1.3450586607221944,0.0,1.5664093804151722,Dobytek vepřový plemenný čistokrevný živý,"Swine: live, pure-bred breeding animals",0.3644172831976645,197349896.0,161477360.0,DNK,0.818228756502613,0.15965749199737075,0.22554555254512232,10.0,0.015067968416867068,0.01841534937157754,3498.0,62.39743132358188,5108.0,91.11666072065644,10.0
10,CZE,10391,12432223.0,2022,1436,9,0,1.5726864950895576,2.235750354243769,0.3093181167911271,1.3450586607221944,0.19767714946280165,0.794115385559609,"Dobytek vepřový ostatní živý,do 50kg","Swine: live, other than pure-bred breeding animals, weighing less than 50kg",0.3093181167911271,1627480356.0,1389722353.0,DNK,0.8539103700247673,0.3190363438267782,0.4097317620993576,8.0,0.007638938899733177,0.00894583221832944,4379.0,78.11273635390653,3609.0,64.3774527292187,8.0
11,CZE,10392,39928930.00000001,2022,1436,20,1,1.5726864950895576,2.0031474152518776,0.3448232257865049,1.3450586607221944,0.0,2.1303813474977447,"Dobytek vepřový ostatní živý,nad 50kg","Swine: live, other than pure-bred breeding animals, weighing 50kg or more",0.34482322578650487,1948412447.0,1078691550.0,NLD,0.5536258771395541,0.11037690746027215,0.09709950216446003,14.0,0.020493058367328326,0.037016077487582066,4035.0,71.97645379950053,4559.0,81.32358187656082,14.0
12,CZE,10410,1657075.0,2022,1436,28,0,1.5726864950895576,-1.8412419746793685,0.2847103884130953,1.3450586607221944,-0.4218482888820043,0.09415833680825889,Ovce živé,Sheep: live,0.2847103884130955,1829506516.0,707489226.0,ROU,0.38671041606719264,0.09083591870724775,0.26956083228998645,39.0,0.0009057497120168771,0.0023421911445475497,292.0,5.208704958972529,2654.0,47.342133428469495,39.0
13,CZE,10420,424.0,2022,1436,19,0,1.5726864950895576,-2.9377749527680743,0.2237362828029448,1.3450586607221944,-0.43545632487435293,0.00016693315989177844,Kozy živé,Goats: live,0.22373628280294483,264042487.99999997,6344031.0,FRA,0.0240265536355649,0.3095880074953033,0.1476205031247039,64.0,1.6058021692327033e-06,6.683447795258252e-05,73.0,1.3021762397431322,344.0,6.136282554405994,64.0
14,CZE,10511,40202795.99999999,2022,1436,29,1,1.5726864950895576,0.3821614733393415,0.3372423505651355,1.3450586607221944,-0.0,2.6380974848786356,"Kohouti,slepice domácí živí,do 185g","Poultry: live, fowls of the species Gallus domesticus, weighing not more than 185g",0.33724235056513563,1584221826.0,836152173.0,NLD,0.52779993260868,0.08046133562385688,0.12125074300465404,11.0,0.025376999193041032,0.048080717001258086,1831.0,32.661434177666784,4374.0,78.02354620049947,11.0
15,CZE,10512,2914718.0,2022,1436,11,1,1.5726864950895576,2.4359255342600044,0.38126368499943974,1.3450586607221944,0.0,1.8712988865301934,Krocani a krůty,"Poultry: live, turkeys, weighing not more than 185g",0.3812636849994397,161921291.0,86517439.0,FRA,0.5343178680560298,0.1447150346484494,0.2676456097397143,8.0,0.01800083226856189,0.03368936983906794,4672.0,83.33927934356046,5435.0,96.94969675347842,8.0
16,CZE,10513,6758688.0,2022,1436,10,1,1.5726864950895576,2.4958467697750266,0.37567447214282756,1.3450586607221944,0.0,22.651953617962462,"Kachny, živé, o hmotnosti <= 185 g","Poultry: live, ducks, weighing not more than 185g",0.37567447214282756,31017537.0,27069930.0,FRA,0.8727298366727184,0.1568233669327868,0.19704360262728904,2.0,0.21789892601723987,0.24967511921900057,4757.0,84.85551195148055,5368.0,95.75454869782376,2.0
17,CZE,10514,139017.0,2022,1436,7,1,1.5726864950895576,3.0133900739772788,0.41983120832332577,1.3450586607221944,0.0,4.481524774734338,"Husy, živé, o hmotnosti <= 185 g","Poultry: live, geese, weighing not more than 185g",0.4198312083233258,3224725.0,3026904.0,POL,0.9386549240632922,0.4603993501539219,0.5207196495781844,3.0,0.043109722534479686,0.04592712553817366,5269.0,93.9885836603639,5597.0,99.83945772386728,3.0
18,CZE,10515,5340.0,2022,1436,5,0,1.5726864950895576,1.9037457653614513,0.22801009722733886,1.3450586607221944,0.2385564321752472,0.20398879512999252,"Perličky, živé, o hmotnosti <= 185 g","Poultry: live, guinea fowls, weighing not more than 185g",0.22801009722733886,2721357.0,1700912.0,FRA,0.6250234717458973,0.40628643569339923,0.9240079271962975,8.0,0.0019622563302058495,0.003139492225347343,3878.0,69.17588298251873,430.0,7.670353193007492,8.0
19,CZE,10594,31336682.0,2022,1436,21,1,1.5726864950895576,1.6569919183435502,0.3660537730234098,1.3450586607221944,0.0,2.2498245564068484,"Kohouti,slepice domácí živí,nad 185g","Poultry: live, fowls of the species Gallus domesticus, weighing more than 185g",0.3660537730234099,1447954556.0,1228988364.0,DEU,0.8487755081175351,0.15942630827652365,0.21009727850821622,9.0,0.02164203418549829,0.02549794848993379,3513.0,62.66500178380306,5154.0,91.93721013200143,9.0
20,CZE,10599,23596198.000000004,2022,1436,16,1,1.5726864950895576,1.1684834865070999,0.3580447983675471,1.3450586607221944,0.0,8.850288522187656,"Kachny,husy,krocani,perličky ap domácí živí","Poultry: live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",0.35804479836754705,277162951.0,216629808.0,POL,0.781597277768918,0.11030373928461304,0.145741669814103,6.0,0.08513474804213643,0.108924059056545,2761.0,49.250802711380665,4927.0,87.88797716732073,6.0
21,CZE,10611,362104.0,2022,1436,9,0,1.5726864950895576,-0.3126088791741115,0.2310539096499361,1.3450586607221944,-0.06905840261724662,0.13639051442038647,Primáti,"Mammals: live, primates",0.2310539096499361,275994056.0,47732537.0,FRA,0.17294769927943665,0.16290432691827034,0.45461206203495835,16.0,0.0013119992700132642,0.007586104212311195,1173.0,20.924009989297183,504.0,8.990367463432039,16.0
22,CZE,10612,0.0,2022,1436,9,0,1.5726864950895576,-0.60610126025285,0.22096909023956127,1.3450586607221944,0.09005033230079264,0.0,"Velryby,delfíni,sviňuchy,kapustňáci,dugungové,tuleni,lvouni,mroži,živí","Mammals: live, whales, dolphins and porpoises (mammals of the order Cetacea): manatees and dugongs (mammals of the order Sirenia): seals, sea lions and walruses (mammals of the suborder Pinnipedia)",0.22096909023956135,20531214.0,3406627.0,ESP,0.16592428484745228,0.4046903509020078,0.6199047434861463,23.0,0.0,0.0,950.0,16.946129147342134,295.0,5.262219051016768,23.0
